line number   order_number   physical_order_number     pixel       air_ref_wl[A]   vac_ref_wl[A] 
   446             19                  83            547.638059     7435.367797     7437.415672 
   447             19                  83            705.045894     7430.253226     7432.299721 
   448             19                  83            745.595815     7428.940503     7430.986644 
   449             19                  83            857.829419     7425.293650     7427.338809 
   450             19                  83            946.315491     7422.311318     7424.355672 
   451             19                  83           1056.133985     7418.549859     7420.593197 
   452             19                  83           1078.090514     7417.790792     7419.833925 
   453             19                  83           1229.412537     7412.336357     7414.378021 
   454             19                  83           1250.250707     7411.736264     7413.777765 
   455             19                  83           1741.042056     7393.437669     7395.474235 
   456             19                  83           1750.807689     7392.979599     7395.016045 
   457             19                  83           2068.263541     7380.422908     7382.455964 
   458             19                  83           2127.630543     7377.887294     7379.919667 
   459             19                  83           2152.066834     7376.877194     7378.909294 
   460             19                  83           2265.375918     7372.117865     7374.148686 
   461             19                  83           2295.646934     7370.825497     7372.855965 
   462             19                  83           2420.939853     7365.426051     7367.455063 
   463             19                  83           2513.519233     7361.347167     7363.375079 
   464             19                  83           2581.199277     7358.344856     7360.371959 
   465             19                  83           2690.339031     7353.292550     7355.318296 
   466             19                  83           2747.012591     7350.813537     7352.838615 
   467             19                  83           2805.185169     7348.053831     7350.078159 
   468             19                  83           2844.141409     7346.342736     7348.366602 
   469             19                  83           2954.377834     7341.151478     7343.173945 
   470             19                  83           3070.713258     7335.577133     7337.598097 
   471             19                  83           3195.210483     7329.491578     7331.510901 
   472             19                  83           3219.648576     7328.285014     7330.304012 
   473             19                  83           3289.442009     7324.807294     7326.825354 
   474             19                  83           3457.705353     7316.004481     7318.020176 
   475             19                  83           3480.877406     7315.066071     7317.081505 
   476             19                  83           3549.204732     7311.715419     7313.729958 
   477             20                  84            332.365292     7353.292550     7355.318296 
   478             20                  84            413.577460     7350.813537     7352.838615 
   479             20                  84            501.805565     7348.053831     7350.078159 
   480             20                  84            725.544746     7341.151478     7343.173945 
   481             20                  84            897.010115     7335.577133     7337.598097 
   482             20                  84           1077.832769     7329.491578     7331.510901 
   483             20                  84           1113.052969     7328.285014     7330.304012 
   484             20                  84           1213.146085     7324.807294     7326.825354 
   485             20                  84           1258.408625     7323.210539     7325.228169 
   486             20                  84           1484.277901     7315.066071     7317.081505 
   487             20                  84           1579.810616     7311.715419     7313.729958 
   488             20                  84           1926.775690     7298.143373     7300.154244 
   489             20                  84           1973.758598     7296.265917     7298.276282 
   490             20                  84           2241.689808     7285.443168     7287.450626 
   491             20                  84           2251.273540     7284.903267     7286.910568 
   492             20                  84           2707.000000     7265.171889     7267.173883 
   493             20                  84           2863.341504     7258.176943     7260.177040 
   494             20                  84           2918.825029     7255.354065     7257.353401 
   495             20                  84           3113.419405     7246.127650     7248.124502 
   496             20                  84           3138.543436     7244.696524     7246.692988 
   497             20                  84           3196.572316     7242.091918     7244.087680 
   498             20                  84           3235.658536     7240.184773     7242.180021 
   499             20                  84           3422.449195     7230.862255     7232.854989 
   500             20                  84           3649.659215     7219.151439     7221.141017 
   501             20                  84           3771.296599     7212.689565     7214.677401 
   502             20                  84           3858.025706     7208.006314     7209.992889 
   503             20                  84           3875.890104     7206.979882     7208.966195 
   504             21                  85            388.486919     7265.171889     7267.173883 
   505             21                  85            707.913911     7255.354065     7257.353401 
   506             21                  85            761.128331     7253.675970     7255.674854 
   507             21                  85            992.589702     7246.127650     7248.124502 
   508             21                  85           1035.451786     7244.696524     7246.692988 
   509             21                  85           1112.436698     7242.091918     7244.087680 
   510             21                  85           1168.274284     7240.184773     7242.180021 
   511             21                  85           1432.801119     7230.862255     7232.854989 
   512             21                  85           1459.822988     7229.938112     7231.930611 
   513             21                  85           1700.455230     7220.980860     7222.970931 
